,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe
1610,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,130.0,155.0,25.0,18.2,114.34117499999999,78.87510018903592,54.49129632941181,29.47684570503216,76.22744999999999,7.709914499999999,26381.281274999998,51,52,55,58,29,29,2805,3016,0.031416,0.033779199999999995,1016.18,3099.5,7.709914499999999,76.22744999999999
1646,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,130.0,145.0,35.0,18.2,114.34117499999999,78.87510018903592,57.57728106115762,29.281895499507627,76.22744999999999,7.709914499999999,26381.281274999998,51,52,55,58,27,27,2805,3016,0.031416,0.033779199999999995,950.62,3124.5,7.709914499999999,76.22744999999999
1632,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,130.0,150.0,30.0,18.2,114.34117499999999,78.87510018903592,55.98732815538568,29.379013135899157,76.22744999999999,7.709914499999999,26381.281274999998,51,52,55,58,28,28,2805,3016,0.031416,0.033779199999999995,983.4,3112.0,7.709914499999999,76.22744999999999
1966,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,125.0,150.0,35.0,18.2,114.34117499999999,78.87510018903592,55.98732815538568,29.496498728247545,76.22744999999999,7.709914499999999,26381.281274999998,51,52,55,58,28,28,2805,3016,0.031416,0.033779199999999995,983.4,3097.0,7.709914499999999,76.22744999999999
2380,S/U,5x3,5.3,3.3,5x3,5.3,3.3,135.0,135.0,125.0,25.0,18.2,117.89624925,72.56075614366728,58.54772732104996,30.18760224818391,78.5974995,7.092697499999999,26387.437499999996,45,45,58,61,23,23,2610,2745,0.029231999999999998,0.030743999999999997,857.0,3105.0,7.092697499999999,78.5974995
1590,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,125.0,160.0,35.0,18.2,113.49,80.48756143667296,54.66527067511527,29.19437328090178,75.66,7.86753,26389.1535,53,54,54,57,30,30,2862,3078,0.0320544,0.03447359999999999,1032.96,3112.5,7.86753,75.66
1574,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,125.0,165.0,30.0,18.2,113.49,80.48756143667296,53.293331583471215,29.29157532166428,75.66,7.86753,26389.1535,53,54,54,57,31,31,2862,3078,0.0320544,0.03447359999999999,1065.24,3100.0,7.86753,75.66
1550,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,125.0,170.0,25.0,18.2,113.49,80.48756143667296,51.99526541781935,29.3894956966375,75.66,7.86753,26389.1535,53,54,54,57,32,32,2862,3078,0.0320544,0.03447359999999999,1097.52,3087.5,7.86753,75.66
1654,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,130.0,135.0,40.0,25.199999999999996,112.4969625,82.37102457466918,59.16156387651664,29.09133638603355,74.997975,8.0516355,26398.547475,51,52,57,61,25,25,2907,3172,0.032558399999999994,0.0355264,960.6599999999999,3098.5,8.0516355,74.997975
1119,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,120.0,195.0,25.0,18.2,111.12940799999997,84.83714177693761,49.76395365660002,28.910712794124727,74.08627199999998,8.2926945,26399.627774999994,58,59,52,55,36,36,3016,3245,0.033779199999999995,0.036343999999999994,1219.92,3084.0,8.2926945,74.08627199999998
1147,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,120.0,190.0,30.0,18.2,111.12940799999997,84.83714177693761,50.84321345575522,28.818122431140306,74.08627199999998,8.2926945,26399.627774999994,58,59,52,55,35,35,3016,3245,0.033779199999999995,0.036343999999999994,1188.64,3096.0,8.2926945,74.08627199999998
1166,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,120.0,185.0,35.0,18.2,111.12940799999997,84.83714177693761,51.97561278382748,28.726185067837328,74.08627199999998,8.2926945,26399.627774999994,58,59,52,55,34,34,3016,3245,0.033779199999999995,0.036343999999999994,1157.36,3108.0,8.2926945,74.08627199999998
2667,S/U,5x3,5.3,3.3,5x3,5.3,3.3,140.0,125.0,125.0,40.0,25.199999999999996,115.19235,77.69624196597353,58.71447478914653,29.861048164962533,76.7949,7.594682999999999,26413.67385,47,47,59,63,23,23,2773,2961,0.031057599999999998,0.0331632,914.4999999999999,3074.0,7.594682999999999,76.7949
1729,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,140.0,120.0,30.0,25.199999999999996,115.19235,77.69624196597353,60.72802286094476,29.465725057189836,76.7949,7.594682999999999,26413.67385,47,47,59,63,22,22,2773,2961,0.031057599999999998,0.0331632,877.9199999999998,3124.0,7.594682999999999,76.7949
2972,S/U,5x3,5.3,3.3,5x3,5.3,3.3,145.0,125.0,125.0,35.0,18.2,117.24935625,74.17321739130435,59.62034352865298,30.268289775208203,78.16623750000001,7.250312999999999,26429.356725,46,46,58,61,23,23,2668,2806,0.029881599999999998,0.0314272,857.0,3078.0,7.250312999999999,78.16623750000001
2962,S/U,5x3,5.3,3.3,5x3,5.3,3.3,145.0,125.0,130.0,30.0,18.2,117.24935625,74.17321739130435,57.719815713787064,30.386577453082968,78.16623750000001,7.250312999999999,26429.356725,46,46,58,61,24,24,2668,2806,0.029881599999999998,0.0314272,891.28,3063.5,7.250312999999999,78.16623750000001
2945,S/U,5x3,5.3,3.3,5x3,5.3,3.3,145.0,125.0,135.0,25.0,18.2,117.24935625,74.17321739130435,55.94824294396719,30.505891897264384,78.16623750000001,7.250312999999999,26429.356725,46,46,58,61,25,25,2668,2806,0.029881599999999998,0.0314272,925.56,3049.0,7.250312999999999,78.16623750000001
3495,S/U,5x3,5.3,3.3,5x3,5.3,3.3,155.0,125.0,120.0,25.0,18.2,118.7389125,71.66644990548204,58.531593861759035,30.90521812351196,79.159275,7.0052805,26444.835225,43,43,60,63,22,22,2580,2709,0.028895999999999998,0.030340799999999998,846.72,3039.5,7.0052805,79.159275
